animal_id,fov,lineage_id,lineage_key,pre_spine_id,anchor_timepoint,active_timepoints,first_seen_tp,last_seen_tp,censored_from_tp,formation_tp,lifecycle,right_censored,id_pre-droplet,id_end-droplet,id_end-lever,local_id_pre-droplet,local_id_end-droplet,local_id_end-lever,status_pre-droplet,status_end-droplet,status_end-lever,fate_pre-droplet,fate_end-droplet,fate_end-lever,event_pre-droplet,event_end-droplet,event_end-lever,pre-droplet_x,end-droplet_x,end-lever_x,pre-droplet_y,end-droplet_y,end-lever_y,pre-droplet_z,end-droplet_z,end-lever_z,n_timepoints_seen,n_timepoints_continuous
DEMO10,1,L_S_00001,S_00001,1,pre-droplet,pre-droplet;end-droplet;end-lever,pre-droplet,end-lever,,,stable,0,S_00001,S_00011,S_00021,1,1,1,matched,matched,matched,,,,,,,192.0,192.0,192.0,275.0,275.0,275.0,4.0,4.0,4.0,3,3
DEMO10,1,L_S_00002,S_00002,2,pre-droplet,pre-droplet;end-droplet;end-lever,,pre-droplet,,,unclassified,0,,,,,,,lost,absent,absent,lost,,,,,,264.0,264.0,264.0,370.0,370.0,370.0,7.0,7.0,7.0,0,0
DEMO10,1,L_S_00003,S_00003,3,pre-droplet,pre-droplet;end-droplet;end-lever,pre-droplet,end-droplet,,,persistent_engram,0,S_00003,S_00013,,3,3,,matched,matched,absent,,,,,lost_at_end-droplet,,336.0,336.0,336.0,465.0,465.0,465.0,10.0,10.0,10.0,2,2
DEMO10,1,L_S_00006,S_00006,6,pre-droplet,pre-droplet;end-droplet;end-lever,end-droplet,end-lever,,end-droplet,persistent_engram,0,,S_00016,S_00026,,6,6,absent,new,matched,,new,,,appeared_at_end-droplet,,552.0,552.0,552.0,275.0,275.0,275.0,7.0,7.0,7.0,2,2
DEMO10,1,L_S_00007,S_00007,7,pre-droplet,pre-droplet;end-droplet;end-lever,end-lever,end-lever,,end-lever,persistent_engram,0,,,S_00027,,,7,absent,absent,new,,,new,,,appeared_at_end-lever,624.0,624.0,624.0,370.0,370.0,370.0,10.0,10.0,10.0,1,1
DEMO10,1,L_S_00004,S_00004,4,pre-droplet,pre-droplet;end-droplet;end-lever,,pre-droplet,pre-droplet,,unclassified,0,,,,,,,single_tp_only,absent,absent,ignore,,,,,,408.0,408.0,408.0,560.0,560.0,560.0,1.0,1.0,1.0,0,0
DEMO10,1,L_S_00005,S_00005,5,pre-droplet,pre-droplet;end-droplet;end-lever,,pre-droplet,pre-droplet,,unclassified,0,,,,,,,single_tp_only,absent,absent,ignore,,,,,,480.0,480.0,480.0,180.0,180.0,180.0,4.0,4.0,4.0,0,0
DEMO10,1,L_S_00008,S_00008,8,pre-droplet,pre-droplet;end-droplet;end-lever,,pre-droplet,pre-droplet,,censored_interval,0,,,,,,,censored,absent,absent,artifact,,,,,,696.0,696.0,696.0,465.0,465.0,465.0,1.0,1.0,1.0,0,0
DEMO10,1,L_S_00010,S_00010,10,pre-droplet,pre-droplet;end-droplet;end-lever,,pre-droplet,pre-droplet,,unclassified,0,,,,,,,single_tp_only,absent,absent,ignore,,,,,,840.0,840.0,840.0,180.0,180.0,180.0,7.0,7.0,7.0,0,0
DEMO10,1,L_S_00009,S_00009,9,pre-droplet,pre-droplet;end-droplet;end-lever,pre-droplet,end-lever,,,stable,0,S_00009,S_00019,S_00029,9,9,9,matched,matched,matched,,,,,,,768.0,768.0,768.0,560.0,560.0,560.0,4.0,4.0,4.0,3,3
